"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-1012.07";"1678.67";"-126.201";"-63.1005";"-22.4253";"-506.036";"161.13";"1.55579e-307";
"-1021.03";"1679.47";"-136.917";"-68.4585";"-19.8217";"-510.515";"162.941";"1.55579e-307";
"-1029.45";"1679.74";"-147.488";"-73.7438";"-17.2667";"-514.725";"164.842";"1.55579e-307";
"-1039.47";"1679.09";"-160.436";"-80.2178";"-14.7416";"-519.737";"166.816";"1.55579e-307";
"-1046.67";"1678.44";"-170.573";"-85.2864";"-12.2354";"-523.335";"168.864";"1.55579e-307";
"-1055.09";"1676.98";"-183.001";"-91.5004";"-9.76182";"-527.546";"170.965";"1.55579e-307";
"-1061.51";"1675.92";"-192.883";"-96.4415";"-7.31104";"-530.754";"173.122";"1.55579e-307";
"-1067.82";"1674.91";"-202.649";"-101.325";"-4.91636";"-533.909";"175.311";"1.55579e-307";
"-1075.25";"1673.62";"-214.786";"-107.393";"-2.55707";"-537.623";"177.528";"1.55579e-307";
"-1081.18";"1672.47";"-224.422";"-112.211";"-0.223352";"-540.591";"179.772";"1.55579e-307";
"-1088.26";"1670.92";"-236.244";"-118.122";"2.05163";"-544.13";"182.02";"1.55579e-307";
"-1093.54";"1669.41";"-245.505";"-122.753";"4.30086";"-546.77";"184.282";"1.55579e-307";
"-1099.91";"1667.59";"-256.776";"-128.388";"6.5112";"-549.956";"186.539";"1.55579e-307";
"-1105.03";"1665.66";"-265.454";"-132.727";"8.67074";"-552.517";"188.779";"1.55579e-307";
"-1110.97";"1663.67";"-275.886";"-137.943";"10.7895";"-555.486";"190.999";"1.55579e-307";
"-1115.77";"1662";"-283.927";"-141.964";"12.8551";"-557.883";"193.186";"1.55579e-307";
"-1121.72";"1659.64";"-293.845";"-146.923";"14.8762";"-560.862";"195.34";"1.55579e-307";
"-1126.1";"1657.93";"-301.219";"-150.609";"16.8429";"-563.052";"197.446";"1.55579e-307";
"-1131.59";"1655.53";"-310.382";"-155.191";"18.7646";"-565.795";"199.506";"1.55579e-307";
"-1136.07";"1652.95";"-317.5";"-158.75";"20.6304";"-568.035";"201.508";"1.55579e-307";
"-1140.33";"1650.36";"-324.592";"-162.296";"22.4513";"-570.165";"203.458";"1.55579e-307";
"-1145.53";"1646.59";"-333.237";"-166.619";"24.2106";"-572.764";"205.331";"1.55579e-307";
"-1149.73";"1643.8";"-339.963";"-169.982";"25.9368";"-574.865";"207.153";"1.55579e-307";
"-1153.73";"1640.23";"-346.667";"-173.333";"27.622";"-576.866";"208.915";"1.55579e-307";
